Day,Hour,Waves_size,Wind_speed,Wind_direction
Vendredi 9 Janvier,06:00,5.0 - 7.6,51,Orientation vent Ouest Nord Ouest
Vendredi 9 Janvier,09:00,5.3 - 8.0,54,Orientation vent Ouest
Vendredi 9 Janvier,12:00,5.6 - 8.4,60,Orientation vent Ouest
Vendredi 9 Janvier,15:00,5.5 - 8.2,56,Orientation vent Ouest Nord Ouest
Vendredi 9 Janvier,18:00,5.1 - 7.6,49,Orientation vent Nord Ouest
Vendredi 9 Janvier,21:00,4.7 - 7.1,51,Orientation vent Nord Ouest
Samedi 10 Janvier,06:00,4.1 - 6.2,31,Orientation vent Nord Nord Ouest
Samedi 10 Janvier,09:00,3.9 - 5.9,30,Orientation vent Nord Ouest
Samedi 10 Janvier,12:00,3.7 - 5.5,35,Orientation vent Nord Ouest
Samedi 10 Janvier,15:00,3.6 - 5.3,34,Orientation vent Nord Ouest
Samedi 10 Janvier,18:00,3.4 - 5.2,30,Orientation vent Nord Ouest
Samedi 10 Janvier,21:00,3.2 - 4.9,26,Orientation vent Nord Ouest
Dimanche 11 Janvier,06:00,2.4 - 3.6,19,Orientation vent Sud Sud Est
Dimanche 11 Janvier,09:00,2.2 - 3.2,20,Orientation vent Sud Sud Est
Dimanche 11 Janvier,12:00,1.9 - 2.9,22,Orientation vent Sud Sud Est
Dimanche 11 Janvier,15:00,1.6 - 2.5,27,Orientation vent Sud
Dimanche 11 Janvier,18:00,1.5 - 2.2,25,Orientation vent Sud
Dimanche 11 Janvier,21:00,1.3 - 2.0,22,Orientation vent Sud Sud Est
Lundi 12 Janvier,06:00,1.6 - 2.3,29,Orientation vent Sud
Lundi 12 Janvier,09:00,1.8 - 2.6,32,Orientation vent Sud
Lundi 12 Janvier,12:00,2.0 - 3.0,34,Orientation vent Sud
Lundi 12 Janvier,15:00,2.2 - 3.2,30,Orientation vent Sud
Lundi 12 Janvier,18:00,2.3 - 3.4,32,Orientation vent Sud
Lundi 12 Janvier,21:00,2.3 - 3.4,36,Orientation vent Sud
Mardi 13 Janvier,06:00,2.0 - 3.1,21,Orientation vent Sud Est
Mardi 13 Janvier,09:00,2.0 - 3.1,21,Orientation vent Sud Est
Mardi 13 Janvier,12:00,2.1 - 3.2,25,Orientation vent Sud Sud Est
Mardi 13 Janvier,15:00,2.2 - 3.3,27,Orientation vent Sud Sud Ouest
Mardi 13 Janvier,18:00,2.1 - 3.2,29,Orientation vent Sud Sud Ouest
Mardi 13 Janvier,21:00,2.1 - 3.1,25,Orientation vent Sud Sud Ouest
Mercredi 14 Janvier,06:00,2.2 - 3.3,26,Orientation vent Sud Sud Ouest
Mercredi 14 Janvier,09:00,2.2 - 3.3,20,Orientation vent Sud Ouest
Mercredi 14 Janvier,12:00,2.2 - 3.3,17,Orientation vent Sud Ouest
Mercredi 14 Janvier,15:00,2.2 - 3.3,12,Orientation vent Sud Ouest
Mercredi 14 Janvier,18:00,2.2 - 3.3,18,Orientation vent Sud Ouest
Mercredi 14 Janvier,21:00,2.1 - 3.1,15,Orientation vent Sud Ouest
Jeudi 15 Janvier,06:00,1.7 - 2.6,19,Orientation vent Ouest Sud Ouest
Jeudi 15 Janvier,09:00,1.6 - 2.4,23,Orientation vent Ouest Sud Ouest
Jeudi 15 Janvier,12:00,1.6 - 2.4,26,Orientation vent Ouest Sud Ouest
Jeudi 15 Janvier,15:00,1.7 - 2.5,21,Orientation vent Ouest Sud Ouest
Jeudi 15 Janvier,18:00,1.7 - 2.6,17,Orientation vent Ouest Nord Ouest
Jeudi 15 Janvier,21:00,1.8 - 2.6,17,Orientation vent Ouest Nord Ouest
